title,address,longitude,latitude,coord_type,,income,jobname,url
上海青之桐投资管理有限公司,淮海中路333号瑞安广场,0.000000,0.000000,3,,1.5-2.5万/月,PHP高级开发工程师,http://jobs.51job.com/all/co3680091.html
腾米信息科技（上海）有限公司,杨浦区五角场,121.522028,31.305630,3,,1-1.5万/月,PHP开发工程师,http://jobs.51job.com/all/co3832685.html
上海梭翱信息技术有限公司,上海市普陀区同普路1220号811室,121.377045,31.238453,3,,1-1.5万/月,PHP高级开发工程师,http://jobs.51job.com/all/co3917658.html
上海中文在线文化发展有限公司,黄浦区斜土路768号致远大厦21层,121.477908,31.207511,3,,1.5-2万/月,PHP高级开发工程师,http://jobs.51job.com/all/co3384386.html
佰路得信息技术（上海）有限公司,徐汇区华石路111号（近IKEA）,121.436152,31.183303,3,,1.5-2.5万/月,PHP Developer,http://jobs.51job.com/all/co2441588.html
上海齐正金融信息服务有限公司,上海浦东王桥路999弄中邦MOHO商务园区1001栋联系电话：18616922633,0.000000,0.000000,3,,1-1.5万/月,PHP开发工程师包吃住,http://jobs.51job.com/all/co3466485.html
上海海锤网络科技有限公司,长宁区延安西路2299号上海世贸商城2楼,121.407211,31.207829,3,,0.8-1.6万/月,PHP互联网开发工程师,http://jobs.51job.com/all/co4335560.html
嗨牛（上海）旅游咨询有限公司,闵行区联航路1688弄10号楼,121.511871,31.077547,3,,1-1.6万/月,PHP开发工程师（偏后台ERP）,http://jobs.51job.com/all/co4371937.html
炎裔教育科技（上海）有限公司,政通路177号万达商务广场C座14楼,121.520134,31.307157,3,,0.9-1.1万/月,PHP开发工程师,http://jobs.51job.com/all/co3236822.html
上海微觉品牌策划有限公司,上海市闵行区黎安路688号（七莘路交叉口）强劲大厦1309室，地铁12号线七莘路站2号口出来右转到七莘路朝南走200米即到,121.374185,31.134233,3,,1-1.5万/月,PHP软件工程师,http://jobs.51job.com/all/co3998731.html
上海快果广告传媒有限公司,徐汇区古美路1528号A4栋15楼,121.405370,31.170096,3,,1.5-2万/月,PHP开发高级工程师,http://jobs.51job.com/all/co4281357.html
上海永利宝网络信息科技有限公司,上海市浦东新区康桥路1157号复邦创智良仓12幢162/157室,121.579227,31.156163,3,,2-3万/月,PHP高级开发工程师,http://jobs.51job.com/all/co4309577.html
中国仪器网,上海浦东大道2440号5楼(滨江大楼) [近龙居路],121.562267,31.259360,3,,1-1.5万/月,中级PHP程序员  PHP高级工程师  中级PHP开发工程师,http://jobs.51job.com/all/co2085632.html
上海天毅教育科技有限公司,上海市浦东新区张江高科技园区居里路123号4幢203室,110.415552,21.204847,3,,1-1.5万/月,PHP开发工程师,http://jobs.51job.com/all/co4440133.html
北京玩途自由行技术有限公司,中山西路930号云都虹桥大厦11B座,121.419008,31.206608,3,,1.5-2.5万/月,PHP开发工程师,http://jobs.51job.com/all/co4083954.html
上海顶势网络科技有限公司,上海市浦东新区 东方路899号地铁4,6号线,121.618568,31.286662,3,,1-1.5万/月,PHP高级工程师,http://jobs.51job.com/all/co3222464.html
思创教育集团（香港）有限公司,上海市杨浦区国康路46号同济科技大厦6楼（靠近10号线同济大学站）,121.510882,31.292370,3,,0.8-1万/月,PHP高级软件工程师,http://jobs.51job.com/all/co166162.html
